# Revision 1.3 Aug-2016,Added QFN48,,,,,,,,,,,
# Revision 1.2 Mar-2012,,,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,I/O Grouping,CSBGA132,TQFP100,UCBGA64,QFN32,QFN48
86,GND,-,-,-,-,-,+,B11,79,C6,-,GND
87,VCCIO0,0,-,-,-,-,+,B10,80,C5,24,39
88,NC,-,-,-,-,-,+,-,-,-,-,-
89,PT9B,0,PROGRAMN,Comp_OF_PT9A,-,-,+,C10,81,B6,25,40
90,NC,-,-,-,-,-,+,-,-,-,-,-
91,PT9A,0,JTAGENB,True_OF_PT9B,-,-,+,B9,82,A6,26,41
92,PT8D,0,SDA/PCLKC0_0,Comp_OF_PT8C,-,-,+,B8,85,A5,27,42
93,NC,-,-,-,-,-,+,-,-,-,-,-
94,PT8C,0,SCL/PCLKT0_0,True_OF_PT8D,-,-,+,C8,86,A4,28,43
95,NC,-,-,-,-,-,+,-,-,-,-,-
96,PT8B,0,PCLKC0_1,Comp_OF_PT8A,-,-,+,B7,87,-,-,-
97,PT8A,0,PCLKT0_1,True_OF_PT8B,-,-,+,A7,88,-,-,-
98,NC,-,-,-,-,-,+,-,-,-,-,-
99,VCCP,-,-,-,-,-,+,-,-,-,-,-
100,NC,-,-,-,-,-,+,-,-,-,-,-
101,PT7B,0,TMS,Comp_OF_PT7A,-,-,+,A6,90,B4,29,44
102,PT7A,0,TCK,True_OF_PT7B,-,-,+,B6,91,A3,30,45
103,NC,-,-,-,-,-,+,-,-,-,-,-
104,GND,-,-,-,-,-,-,A5,92,C3,-,GND
105,NC,-,-,-,-,-,-,-,-,-,-,-
106,VCCIO0,0,-,-,-,-,-,C5,93,C4,31,46
107,PT6D,0,TDI,Comp_OF_PT6C,-,-,-,B4,94,B3,32,47
108,NC,-,-,-,-,-,-,-,-,-,-,-
109,PT6C,0,TDO,True_OF_PT6D,-,-,-,A4,95,A2,1,48
110,NC,-,-,-,-,-,-,-,-,-,-,-
111,PT6B,0,-,Comp_OF_PT6A,-,-,-,B3,98,-,-,-
112,PT6A,0,-,True_OF_PT6B,-,-,-,A2,99,-,-,-
113,NC,-,-,-,-,-,-,-,-,-,-,-
114,VCC,-,-,-,-,-,-,A1,100,B2,2,1
115,NC,-,-,-,-,-,-,-,-,-,-,-
0,NC,3,-,-,-,-,-,B1,-,-,-,-
0,NC,3,-,-,-,-,-,B2,-,-,-,-
0,NC,3,-,-,-,-,-,G1,11,-,-,-
0,NC,3,-,-,-,-,-,E3,14,-,-,-
0,NC,3,-,-,-,-,-,F2,15,-,-,-
0,NC,3,-,-,-,-,-,F1,18,-,-,-
0,NC,3,-,-,-,-,-,F3,19,-,-,-
0,NC,3,-,-,-,-,-,G2,-,-,-,-
0,NC,3,-,-,-,-,-,H1,9,-,-,-
0,NC,3,-,-,-,-,-,H3,10,-,-,-
0,NC,3,-,-,-,-,-,N1,-,-,-,-
0,NC,3,-,-,-,-,-,J3,-,-,-,-
0,NC,3,-,-,-,-,-,K2,-,-,-,-
0,NC,3,-,-,-,-,-,L3,-,-,-,-
0,NC,2,-,-,-,-,-,P2,29,-,-,-
0,NC,2,-,-,-,-,-,N2,30,-,-,-
0,NC,2,-,-,-,-,-,N3,36,-,-,-
0,NC,2,-,-,-,-,-,P4,37,-,-,-
0,NC,2,-,-,-,-,-,N5,45,-,-,-
0,NC,2,-,-,-,-,-,M5,47,-,-,-
0,NC,2,-,-,-,-,-,M6,-,-,-,-
0,NC,2,-,-,-,-,-,P7,-,-,-,-
0,NC,2,-,-,-,-,-,N7,-,-,-,-
0,NC,2,-,-,-,-,-,P9,-,-,-,-
0,NC,2,-,-,-,-,-,N9,-,-,-,-
0,NC,2,-,-,-,-,-,M10,-,-,-,-
0,NC,2,-,-,-,-,-,P11,-,-,-,-
0,NC,2,-,-,-,-,-,M11,-,-,-,-
0,NC,2,-,-,-,-,-,P12,-,-,-,-
0,NC,1,-,-,-,-,-,M14,59,-,-,-
0,NC,1,-,-,-,-,-,M12,60,-,-,-
0,NC,1,-,-,-,-,-,K12,61,-,-,-
0,NC,1,-,-,-,-,-,J13,64,-,-,-
0,NC,1,-,-,-,-,-,J14,65,-,-,-
0,NC,1,-,-,-,-,-,J12,68,-,-,-
0,NC,1,-,-,-,-,-,H14,-,-,-,-
0,NC,1,-,-,-,-,-,H13,-,-,-,-
0,NC,1,-,-,-,-,-,G14,69,-,-,-
